Court Name,Data element,Data element (group),Jurisdiction,Response,Sheet Name,State,Subject,Year,"Race, Gender, Ethnicity"
District,Not Hispanic or Latinx,Ethnicity,Limited,* ,Trial Courts,Alabama,Trial Court Data Reported,2020,
District,Ethnicity Unknown,Ethnicity,Limited,* ,Trial Courts,Alabama,Trial Court Data Reported,2020,
Municipal,Source of Authority,Source of Authority,Limited,State legislation,Trial Courts,Alabama,Trial Court Data Reported,2020,
Municipal,Geographic Jurisdiction,Geographic Jurisdiction,Limited,Municipality,Trial Courts,Alabama,Trial Court Data Reported,2020,
Municipal,Number of Courts,Number of Courts,Limited,280,Trial Courts,Alabama,Trial Court Data Reported,2020,
Municipal,Total Judges,Total Judges,Limited,NA,Trial Courts,Alabama,Trial Court Data Reported,2020,
Municipal,Male,Gender,Limited,* ,Trial Courts,Alabama,Trial Court Data Reported,2020,
Municipal,Female,Gender,Limited,* ,Trial Courts,Alabama,Trial Court Data Reported,2020,
Municipal,Transgender,Gender,Limited,* ,Trial Courts,Alabama,Trial Court Data Reported,2020,
Municipal,Non-Binary/Other,Gender,Limited,* ,Trial Courts,Alabama,Trial Court Data Reported,2020,
Municipal,Gender Unknown,Gender,Limited,* ,Trial Courts,Alabama,Trial Court Data Reported,2020,
Municipal,White,Race,Limited,* ,Trial Courts,Alabama,Trial Court Data Reported,2020,
Municipal,Black/  African American,Race,Limited,* ,Trial Courts,Alabama,Trial Court Data Reported,2020,
Municipal,American Indian/ Alaska Native,Race,Limited,* ,Trial Courts,Alabama,Trial Court Data Reported,2020,
Municipal,Asian,Race,Limited,* ,Trial Courts,Alabama,Trial Court Data Reported,2020,
Municipal,Native Hawaiian/ Pacific Islander,Race,Limited,* ,Trial Courts,Alabama,Trial Court Data Reported,2020,
Municipal,More than one race,Race,Limited,* ,Trial Courts,Alabama,Trial Court Data Reported,2020,
Municipal,Other Race,Race,Limited,* ,Trial Courts,Alabama,Trial Court Data Reported,2020,
Municipal,Race Unknown,Race,Limited,* ,Trial Courts,Alabama,Trial Court Data Reported,2020,
Municipal,Hispanic or Latinx,Ethnicity,Limited,* ,Trial Courts,Alabama,Trial Court Data Reported,2020,
Municipal,Not Hispanic or Latinx,Ethnicity,Limited,* ,Trial Courts,Alabama,Trial Court Data Reported,2020,
Municipal,Ethnicity Unknown,Ethnicity,Limited,* ,Trial Courts,Alabama,Trial Court Data Reported,2020,
Probate,Source of Authority,Source of Authority,Limited,State legislation,Trial Courts,Alabama,Trial Court Data Reported,2020,
Probate,Geographic Jurisdiction,Geographic Jurisdiction,Limited,County,Trial Courts,Alabama,Trial Court Data Reported,2020,
Probate,Number of Courts,Number of Courts,Limited,67,Trial Courts,Alabama,Trial Court Data Reported,2020,
Probate,Total Judges,Total Judges,Limited,NA,Trial Courts,Alabama,Trial Court Data Reported,2020,
Probate,Male,Gender,Limited,* ,Trial Courts,Alabama,Trial Court Data Reported,2020,
Probate,Female,Gender,Limited,* ,Trial Courts,Alabama,Trial Court Data Reported,2020,
Probate,Transgender,Gender,Limited,* ,Trial Courts,Alabama,Trial Court Data Reported,2020,
Probate,Non-Binary/Other,Gender,Limited,* ,Trial Courts,Alabama,Trial Court Data Reported,2020,
Probate,Gender Unknown,Gender,Limited,* ,Trial Courts,Alabama,Trial Court Data Reported,2020,
Probate,White,Race,Limited,* ,Trial Courts,Alabama,Trial Court Data Reported,2020,
Probate,Black/  African American,Race,Limited,* ,Trial Courts,Alabama,Trial Court Data Reported,2020,
Probate,American Indian/ Alaska Native,Race,Limited,* ,Trial Courts,Alabama,Trial Court Data Reported,2020,
Probate,Asian,Race,Limited,* ,Trial Courts,Alabama,Trial Court Data Reported,2020,
Probate,Native Hawaiian/ Pacific Islander,Race,Limited,* ,Trial Courts,Alabama,Trial Court Data Reported,2020,
Probate,More than one race,Race,Limited,* ,Trial Courts,Alabama,Trial Court Data Reported,2020,
Probate,Other Race,Race,Limited,* ,Trial Courts,Alabama,Trial Court Data Reported,2020,
Probate,Race Unknown,Race,Limited,* ,Trial Courts,Alabama,Trial Court Data Reported,2020,
Probate,Hispanic or Latinx,Ethnicity,Limited,* ,Trial Courts,Alabama,Trial Court Data Reported,2020,
Probate,Not Hispanic or Latinx,Ethnicity,Limited,* ,Trial Courts,Alabama,Trial Court Data Reported,2020,
Probate,Ethnicity Unknown,Ethnicity,Limited,* ,Trial Courts,Alabama,Trial Court Data Reported,2020,
District,Source of Authority,Source of Authority,Limited,State legislation,Trial Courts,Alaska,Trial Court Data Reported,2020,
District,Geographic Jurisdiction,Geographic Jurisdiction,Limited,Statewide,Trial Courts,Alaska,Trial Court Data Reported,2020,
District,Number of Courts,Number of Courts,Limited,25,Trial Courts,Alaska,Trial Court Data Reported,2020,
District,Total Judges,Total Judges,Limited,20,Trial Courts,Alaska,Trial Court Data Reported,2020,
District,Male,Gender,Limited,14,Trial Courts,Alaska,Trial Court Data Reported,2020,14
District,Female,Gender,Limited,5,Trial Courts,Alaska,Trial Court Data Reported,2020,5
District,Transgender,Gender,Limited,* ,Trial Courts,Alaska,Trial Court Data Reported,2020,
District,Non-Binary/Other,Gender,Limited,* ,Trial Courts,Alaska,Trial Court Data Reported,2020,
District,Gender Unknown,Gender,Limited,1,Trial Courts,Alaska,Trial Court Data Reported,2020,1
District,White,Race,Limited,16,Trial Courts,Alaska,Trial Court Data Reported,2020,16
District,Black/  African American,Race,Limited,2,Trial Courts,Alaska,Trial Court Data Reported,2020,2
District,American Indian/ Alaska Native,Race,Limited,0,Trial Courts,Alaska,Trial Court Data Reported,2020,0
District,Asian,Race,Limited,1,Trial Courts,Alaska,Trial Court Data Reported,2020,1
District,Native Hawaiian/ Pacific Islander,Race,Limited,0,Trial Courts,Alaska,Trial Court Data Reported,2020,0
District,More than one race,Race,Limited,0,Trial Courts,Alaska,Trial Court Data Reported,2020,0
District,Other Race,Race,Limited,0,Trial Courts,Alaska,Trial Court Data Reported,2020,0
District,Race Unknown,Race,Limited,1,Trial Courts,Alaska,Trial Court Data Reported,2020,1
District,Hispanic or Latinx,Ethnicity,Limited,0,Trial Courts,Alaska,Trial Court Data Reported,2020,0
District,Not Hispanic or Latinx,Ethnicity,Limited,19,Trial Courts,Alaska,Trial Court Data Reported,2020,19
District,Ethnicity Unknown,Ethnicity,Limited,1,Trial Courts,Alaska,Trial Court Data Reported,2020,1
Superior,Source of Authority,Source of Authority,General,Constitution,Trial Courts,Alaska,Trial Court Data Reported,2020,
Superior,Geographic Jurisdiction,Geographic Jurisdiction,General,Statewide,Trial Courts,Alaska,Trial Court Data Reported,2020,
Superior,Number of Courts,Number of Courts,General,15,Trial Courts,Alaska,Trial Court Data Reported,2020,
Superior,Total Judges,Total Judges,General,45,Trial Courts,Alaska,Trial Court Data Reported,2020,
Superior,Male,Gender,General,31,Trial Courts,Alaska,Trial Court Data Reported,2020,31
Superior,Female,Gender,General,13,Trial Courts,Alaska,Trial Court Data Reported,2020,13
Superior,Transgender,Gender,General,* ,Trial Courts,Alaska,Trial Court Data Reported,2020,
Superior,Non-Binary/Other,Gender,General,* ,Trial Courts,Alaska,Trial Court Data Reported,2020,
Superior,Gender Unknown,Gender,General,1,Trial Courts,Alaska,Trial Court Data Reported,2020,1
Superior,White,Race,General,39,Trial Courts,Alaska,Trial Court Data Reported,2020,39
Superior,Black/  African American,Race,General,1,Trial Courts,Alaska,Trial Court Data Reported,2020,1
Superior,American Indian/ Alaska Native,Race,General,0,Trial Courts,Alaska,Trial Court Data Reported,2020,0
Superior,Asian,Race,General,1,Trial Courts,Alaska,Trial Court Data Reported,2020,1
Superior,Native Hawaiian/ Pacific Islander,Race,General,0,Trial Courts,Alaska,Trial Court Data Reported,2020,0
Superior,More than one race,Race,General,0,Trial Courts,Alaska,Trial Court Data Reported,2020,0
Superior,Other Race,Race,General,3,Trial Courts,Alaska,Trial Court Data Reported,2020,3
Superior,Race Unknown,Race,General,1,Trial Courts,Alaska,Trial Court Data Reported,2020,1
Superior,Hispanic or Latinx,Ethnicity,General,3,Trial Courts,Alaska,Trial Court Data Reported,2020,3
Superior,Not Hispanic or Latinx,Ethnicity,General,41,Trial Courts,Alaska,Trial Court Data Reported,2020,41
Superior,Ethnicity Unknown,Ethnicity,General,1,Trial Courts,Alaska,Trial Court Data Reported,2020,1
Justice of the Peace,Source of Authority,Source of Authority,Limited,Constitution,Trial Courts,Arizona,Trial Court Data Reported,2020,
Justice of the Peace,Geographic Jurisdiction,Geographic Jurisdiction,Limited,District/Circuit/Vicinage,Trial Courts,Arizona,Trial Court Data Reported,2020,
Justice of the Peace,Number of Courts,Number of Courts,Limited,85,Trial Courts,Arizona,Trial Court Data Reported,2020,
Justice of the Peace,Total Judges,Total Judges,Limited,85,Trial Courts,Arizona,Trial Court Data Reported,2020,
Justice of the Peace,Male,Gender,Limited,* ,Trial Courts,Arizona,Trial Court Data Reported,2020,
Justice of the Peace,Female,Gender,Limited,* ,Trial Courts,Arizona,Trial Court Data Reported,2020,
Justice of the Peace,Transgender,Gender,Limited,* ,Trial Courts,Arizona,Trial Court Data Reported,2020,
Justice of the Peace,Non-Binary/Other,Gender,Limited,* ,Trial Courts,Arizona,Trial Court Data Reported,2020,
Justice of the Peace,Gender Unknown,Gender,Limited,* ,Trial Courts,Arizona,Trial Court Data Reported,2020,
Justice of the Peace,White,Race,Limited,* ,Trial Courts,Arizona,Trial Court Data Reported,2020,
Justice of the Peace,Black/  African American,Race,Limited,* ,Trial Courts,Arizona,Trial Court Data Reported,2020,
Justice of the Peace,American Indian/ Alaska Native,Race,Limited,* ,Trial Courts,Arizona,Trial Court Data Reported,2020,
Justice of the Peace,Asian,Race,Limited,* ,Trial Courts,Arizona,Trial Court Data Reported,2020,
Justice of the Peace,Native Hawaiian/ Pacific Islander,Race,Limited,* ,Trial Courts,Arizona,Trial Court Data Reported,2020,
Justice of the Peace,More than one race,Race,Limited,* ,Trial Courts,Arizona,Trial Court Data Reported,2020,
Justice of the Peace,Other Race,Race,Limited,* ,Trial Courts,Arizona,Trial Court Data Reported,2020,
Justice of the Peace,Race Unknown,Race,Limited,* ,Trial Courts,Arizona,Trial Court Data Reported,2020,
Justice of the Peace,Hispanic or Latinx,Ethnicity,Limited,* ,Trial Courts,Arizona,Trial Court Data Reported,2020,
Justice of the Peace,Not Hispanic or Latinx,Ethnicity,Limited,* ,Trial Courts,Arizona,Trial Court Data Reported,2020,
Justice of the Peace,Ethnicity Unknown,Ethnicity,Limited,* ,Trial Courts,Arizona,Trial Court Data Reported,2020,
Municipal,Source of Authority,Source of Authority,Limited,Constitution,Trial Courts,Arizona,Trial Court Data Reported,2020,
Municipal,Geographic Jurisdiction,Geographic Jurisdiction,Limited,Municipality,Trial Courts,Arizona,Trial Court Data Reported,2020,
Municipal,Number of Courts,Number of Courts,Limited,82,Trial Courts,Arizona,Trial Court Data Reported,2020,
Municipal,Total Judges,Total Judges,Limited,128,Trial Courts,Arizona,Trial Court Data Reported,2020,
Municipal,Male,Gender,Limited,* ,Trial Courts,Arizona,Trial Court Data Reported,2020,
Municipal,Female,Gender,Limited,* ,Trial Courts,Arizona,Trial Court Data Reported,2020,
Municipal,Transgender,Gender,Limited,* ,Trial Courts,Arizona,Trial Court Data Reported,2020,
Municipal,Non-Binary/Other,Gender,Limited,* ,Trial Courts,Arizona,Trial Court Data Reported,2020,
Municipal,Gender Unknown,Gender,Limited,* ,Trial Courts,Arizona,Trial Court Data Reported,2020,
Municipal,White,Race,Limited,* ,Trial Courts,Arizona,Trial Court Data Reported,2020,
Municipal,Black/  African American,Race,Limited,* ,Trial Courts,Arizona,Trial Court Data Reported,2020,
Municipal,American Indian/ Alaska Native,Race,Limited,* ,Trial Courts,Arizona,Trial Court Data Reported,2020,
Municipal,Asian,Race,Limited,* ,Trial Courts,Arizona,Trial Court Data Reported,2020,
Municipal,Native Hawaiian/ Pacific Islander,Race,Limited,* ,Trial Courts,Arizona,Trial Court Data Reported,2020,
Municipal,More than one race,Race,Limited,* ,Trial Courts,Arizona,Trial Court Data Reported,2020,
Municipal,Other Race,Race,Limited,* ,Trial Courts,Arizona,Trial Court Data Reported,2020,
Municipal,Race Unknown,Race,Limited,* ,Trial Courts,Arizona,Trial Court Data Reported,2020,
Municipal,Hispanic or Latinx,Ethnicity,Limited,* ,Trial Courts,Arizona,Trial Court Data Reported,2020,
Municipal,Not Hispanic or Latinx,Ethnicity,Limited,* ,Trial Courts,Arizona,Trial Court Data Reported,2020,
Municipal,Ethnicity Unknown,Ethnicity,Limited,* ,Trial Courts,Arizona,Trial Court Data Reported,2020,
Superior,Source of Authority,Source of Authority,General,Constitution,Trial Courts,Arizona,Trial Court Data Reported,2020,
Superior,Geographic Jurisdiction,Geographic Jurisdiction,General,County,Trial Courts,Arizona,Trial Court Data Reported,2020,
Superior,Number of Courts,Number of Courts,General,15,Trial Courts,Arizona,Trial Court Data Reported,2020,
Superior,Total Judges,Total Judges,General,180,Trial Courts,Arizona,Trial Court Data Reported,2020,
Superior,Male,Gender,General,112,Trial Courts,Arizona,Trial Court Data Reported,2020,112
Superior,Female,Gender,General,63,Trial Courts,Arizona,Trial Court Data Reported,2020,63
Superior,Transgender,Gender,General,* ,Trial Courts,Arizona,Trial Court Data Reported,2020,
Superior,Non-Binary/Other,Gender,General,* ,Trial Courts,Arizona,Trial Court Data Reported,2020,
Superior,Gender Unknown,Gender,General,* ,Trial Courts,Arizona,Trial Court Data Reported,2020,
Superior,White,Race,General,154,Trial Courts,Arizona,Trial Court Data Reported,2020,154
Superior,Black/  African American,Race,General,2,Trial Courts,Arizona,Trial Court Data Reported,2020,2
Superior,American Indian/ Alaska Native,Race,General,2,Trial Courts,Arizona,Trial Court Data Reported,2020,2
Superior,Asian,Race,General,5,Trial Courts,Arizona,Trial Court Data Reported,2020,5
Superior,Native Hawaiian/ Pacific Islander,Race,General,1,Trial Courts,Arizona,Trial Court Data Reported,2020,1
Superior,More than one race,Race,General,3,Trial Courts,Arizona,Trial Court Data Reported,2020,3
Superior,Other Race,Race,General,0,Trial Courts,Arizona,Trial Court Data Reported,2020,0
Superior,Race Unknown,Race,General,2,Trial Courts,Arizona,Trial Court Data Reported,2020,2
Superior,Hispanic or Latinx,Ethnicity,General,6,Trial Courts,Arizona,Trial Court Data Reported,2020,6
Superior,Not Hispanic or Latinx,Ethnicity,General,167,Trial Courts,Arizona,Trial Court Data Reported,2020,167
Superior,Ethnicity Unknown,Ethnicity,General,2,Trial Courts,Arizona,Trial Court Data Reported,2020,2
Tax,Source of Authority,Source of Authority,General,State legislation,Trial Courts,Arizona,Trial Court Data Reported,2020,
Tax,Geographic Jurisdiction,Geographic Jurisdiction,General,Statewide,Trial Courts,Arizona,Trial Court Data Reported,2020,
Tax,Number of Courts,Number of Courts,General,1,Trial Courts,Arizona,Trial Court Data Reported,2020,
Tax,Total Judges,Total Judges,General,1,Trial Courts,Arizona,Trial Court Data Reported,2020,
Tax,Male,Gender,General,* ,Trial Courts,Arizona,Trial Court Data Reported,2020,
Tax,Female,Gender,General,* ,Trial Courts,Arizona,Trial Court Data Reported,2020,
Tax,Transgender,Gender,General,* ,Trial Courts,Arizona,Trial Court Data Reported,2020,
Tax,Non-Binary/Other,Gender,General,* ,Trial Courts,Arizona,Trial Court Data Reported,2020,
Tax,Gender Unknown,Gender,General,* ,Trial Courts,Arizona,Trial Court Data Reported,2020,
Tax,White,Race,General,* ,Trial Courts,Arizona,Trial Court Data Reported,2020,
Tax,Black/  African American,Race,General,* ,Trial Courts,Arizona,Trial Court Data Reported,2020,
Tax,American Indian/ Alaska Native,Race,General,* ,Trial Courts,Arizona,Trial Court Data Reported,2020,
Tax,Asian,Race,General,* ,Trial Courts,Arizona,Trial Court Data Reported,2020,
Tax,Native Hawaiian/ Pacific Islander,Race,General,* ,Trial Courts,Arizona,Trial Court Data Reported,2020,
Tax,More than one race,Race,General,* ,Trial Courts,Arizona,Trial Court Data Reported,2020,
Tax,Other Race,Race,General,* ,Trial Courts,Arizona,Trial Court Data Reported,2020,
Tax,Race Unknown,Race,General,* ,Trial Courts,Arizona,Trial Court Data Reported,2020,
Tax,Hispanic or Latinx,Ethnicity,General,* ,Trial Courts,Arizona,Trial Court Data Reported,2020,
Tax,Not Hispanic or Latinx,Ethnicity,General,* ,Trial Courts,Arizona,Trial Court Data Reported,2020,
Tax,Ethnicity Unknown,Ethnicity,General,* ,Trial Courts,Arizona,Trial Court Data Reported,2020,
Circuit,Source of Authority,Source of Authority,General,Constitution,Trial Courts,Arkansas,Trial Court Data Reported,2020,
Circuit,Geographic Jurisdiction,Geographic Jurisdiction,General,District/Circuit/Vicinage,Trial Courts,Arkansas,Trial Court Data Reported,2020,
Circuit,Number of Courts,Number of Courts,General,28,Trial Courts,Arkansas,Trial Court Data Reported,2020,
Circuit,Total Judges,Total Judges,General,123,Trial Courts,Arkansas,Trial Court Data Reported,2020,
Circuit,Male,Gender,General,84,Trial Courts,Arkansas,Trial Court Data Reported,2020,84
Circuit,Female,Gender,General,39,Trial Courts,Arkansas,Trial Court Data Reported,2020,39
Circuit,Transgender,Gender,General,* ,Trial Courts,Arkansas,Trial Court Data Reported,2020,
Circuit,Non-Binary/Other,Gender,General,* ,Trial Courts,Arkansas,Trial Court Data Reported,2020,
Circuit,Gender Unknown,Gender,General,0,Trial Courts,Arkansas,Trial Court Data Reported,2020,0
Circuit,White,Race,General,108,Trial Courts,Arkansas,Trial Court Data Reported,2020,108
Circuit,Black/  African American,Race,General,15,Trial Courts,Arkansas,Trial Court Data Reported,2020,15
Circuit,American Indian/ Alaska Native,Race,General,0,Trial Courts,Arkansas,Trial Court Data Reported,2020,0
Circuit,Asian,Race,General,0,Trial Courts,Arkansas,Trial Court Data Reported,2020,0
Circuit,Native Hawaiian/ Pacific Islander,Race,General,0,Trial Courts,Arkansas,Trial Court Data Reported,2020,0
Circuit,More than one race,Race,General,0,Trial Courts,Arkansas,Trial Court Data Reported,2020,0
Circuit,Other Race,Race,General,0,Trial Courts,Arkansas,Trial Court Data Reported,2020,0
Circuit,Race Unknown,Race,General,0,Trial Courts,Arkansas,Trial Court Data Reported,2020,0
Circuit,Hispanic or Latinx,Ethnicity,General,* ,Trial Courts,Arkansas,Trial Court Data Reported,2020,
Circuit,Not Hispanic or Latinx,Ethnicity,General,* ,Trial Courts,Arkansas,Trial Court Data Reported,2020,
Circuit,Ethnicity Unknown,Ethnicity,General,* ,Trial Courts,Arkansas,Trial Court Data Reported,2020,
District,Source of Authority,Source of Authority,Limited,Constitution,Trial Courts,Arkansas,Trial Court Data Reported,2020,
District,Geographic Jurisdiction,Geographic Jurisdiction,Limited,District/Circuit/Vicinage,Trial Courts,Arkansas,Trial Court Data Reported,2020,
District,Number of Courts,Number of Courts,Limited,67,Trial Courts,Arkansas,Trial Court Data Reported,2020,
District,Total Judges,Total Judges,Limited,92,Trial Courts,Arkansas,Trial Court Data Reported,2020,
District,Male,Gender,Limited,* ,Trial Courts,Arkansas,Trial Court Data Reported,2020,
District,Female,Gender,Limited,* ,Trial Courts,Arkansas,Trial Court Data Reported,2020,
District,Transgender,Gender,Limited,* ,Trial Courts,Arkansas,Trial Court Data Reported,2020,
District,Non-Binary/Other,Gender,Limited,* ,Trial Courts,Arkansas,Trial Court Data Reported,2020,
District,Gender Unknown,Gender,Limited,* ,Trial Courts,Arkansas,Trial Court Data Reported,2020,
District,White,Race,Limited,* ,Trial Courts,Arkansas,Trial Court Data Reported,2020,
District,Black/  African American,Race,Limited,* ,Trial Courts,Arkansas,Trial Court Data Reported,2020,
District,American Indian/ Alaska Native,Race,Limited,* ,Trial Courts,Arkansas,Trial Court Data Reported,2020,
District,Asian,Race,Limited,* ,Trial Courts,Arkansas,Trial Court Data Reported,2020,
District,Native Hawaiian/ Pacific Islander,Race,Limited,* ,Trial Courts,Arkansas,Trial Court Data Reported,2020,
District,More than one race,Race,Limited,* ,Trial Courts,Arkansas,Trial Court Data Reported,2020,
District,Other Race,Race,Limited,* ,Trial Courts,Arkansas,Trial Court Data Reported,2020,
District,Race Unknown,Race,Limited,* ,Trial Courts,Arkansas,Trial Court Data Reported,2020,
District,Hispanic or Latinx,Ethnicity,Limited,* ,Trial Courts,Arkansas,Trial Court Data Reported,2020,
District,Not Hispanic or Latinx,Ethnicity,Limited,* ,Trial Courts,Arkansas,Trial Court Data Reported,2020,
District,Ethnicity Unknown,Ethnicity,Limited,* ,Trial Courts,Arkansas,Trial Court Data Reported,2020,
Superior,Source of Authority,Source of Authority,General,Constitution,Trial Courts,California,Trial Court Data Reported,2020,
Superior,Geographic Jurisdiction,Geographic Jurisdiction,General,County,Trial Courts,California,Trial Court Data Reported,2020,
Superior,Number of Courts,Number of Courts,General,58,Trial Courts,California,Trial Court Data Reported,2020,
Superior,Total Judges,Total Judges,General,1756,Trial Courts,California,Trial Court Data Reported,2020,
Superior,Male,Gender,General,999,Trial Courts,California,Trial Court Data Reported,2020,999
Superior,Female,Gender,General,598,Trial Courts,California,Trial Court Data Reported,2020,598
Superior,Transgender,Gender,General, ,Trial Courts,California,Trial Court Data Reported,2020,
Superior,Non-Binary/Other,Gender,General, ,Trial Courts,California,Trial Court Data Reported,2020,
Superior,Gender Unknown,Gender,General,159,Trial Courts,California,Trial Court Data Reported,2020,159
Superior,White,Race,General,1030,Trial Courts,California,Trial Court Data Reported,2020,1030
Superior,Black/  African American,Race,General,125,Trial Courts,California,Trial Court Data Reported,2020,125
Superior,American Indian/ Alaska Native,Race,General,7,Trial Courts,California,Trial Court Data Reported,2020,7
Superior,Asian,Race,General,132,Trial Courts,California,Trial Court Data Reported,2020,132
Superior,Native Hawaiian/ Pacific Islander,Race,General,5,Trial Courts,California,Trial Court Data Reported,2020,5
Superior,More than one race,Race,General,66,Trial Courts,California,Trial Court Data Reported,2020,66
Superior,Other Race,Race,General,15,Trial Courts,California,Trial Court Data Reported,2020,15
Superior,Race Unknown,Race,General,33,Trial Courts,California,Trial Court Data Reported,2020,33
Superior,Hispanic or Latinx,Ethnicity,General,184,Trial Courts,California,Trial Court Data Reported,2020,184
Superior,Not Hispanic or Latinx,Ethnicity,General,1413,Trial Courts,California,Trial Court Data Reported,2020,1413
Superior,Ethnicity Unknown,Ethnicity,General,159,Trial Courts,California,Trial Court Data Reported,2020,159
County,Source of Authority,Source of Authority,Limited,Constitution,Trial Courts,Colorado,Trial Court Data Reported,2020,
County,Geographic Jurisdiction,Geographic Jurisdiction,Limited,County,Trial Courts,Colorado,Trial Court Data Reported,2020,
County,Number of Courts,Number of Courts,Limited,64,Trial Courts,Colorado,Trial Court Data Reported,2020,
County,Total Judges,Total Judges,Limited,114,Trial Courts,Colorado,Trial Court Data Reported,2020,
County,Male,Gender,Limited,65,Trial Courts,Colorado,Trial Court Data Reported,2020,65
County,Female,Gender,Limited,49,Trial Courts,Colorado,Trial Court Data Reported,2020,49
County,Transgender,Gender,Limited,* ,Trial Courts,Colorado,Trial Court Data Reported,2020,
County,Non-Binary/Other,Gender,Limited,0,Trial Courts,Colorado,Trial Court Data Reported,2020,0
County,Gender Unknown,Gender,Limited,0,Trial Courts,Colorado,Trial Court Data Reported,2020,0
County,White,Race,Limited,97,Trial Courts,Colorado,Trial Court Data Reported,2020,97
County,Black/  African American,Race,Limited,4,Trial Courts,Colorado,Trial Court Data Reported,2020,4
County,American Indian/ Alaska Native,Race,Limited,0,Trial Courts,Colorado,Trial Court Data Reported,2020,0
County,Asian,Race,Limited,1,Trial Courts,Colorado,Trial Court Data Reported,2020,1
County,Native Hawaiian/ Pacific Islander,Race,Limited,0,Trial Courts,Colorado,Trial Court Data Reported,2020,0
County,More than one race,Race,Limited,1,Trial Courts,Colorado,Trial Court Data Reported,2020,1
County,Other Race,Race,Limited,* ,Trial Courts,Colorado,Trial Court Data Reported,2020,
County,Race Unknown,Race,Limited,11,Trial Courts,Colorado,Trial Court Data Reported,2020,11
